"libellé métier";"lien site onisep.fr";"nom publication";collection;année;gencod;GFE;"code ROME (V.3)";"libellé ROME (V.3)";"lien ROME";domaine/sous-domaine
"consultant / consultante web analytique";https://www.onisep.fr/http/redirection/metier/slug/MET.338;;"pas de publication Onisep spécifique";;;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";;;;"informatique, Internet/bases de données| informatique, Internet/développement, programmation, logiciel| commerce, marketing, vente/marketing, vente| sciences/mathématiques| information-communication, audiovisuel/multimédia"
"critique d'art";https://www.onisep.fr/http/redirection/metier/slug/MET.112;"Les études d'art";Dossiers;2023;9782273016506;"GFE U : communication, médias";E1106;"Journalisme et information média";https://candidat.francetravail.fr/metierscope/fiche-metier/E1106;"arts, culture, artisanat/arts plastiques| histoire-géographie, psychologie, sociologie/histoire| arts, culture, artisanat/histoire de l'art"
bibliothécaire;https://www.onisep.fr/http/redirection/metier/slug/MET.44;"Les métiers de la culture et du patrimoine";Parcours;2022;9782273016131;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";K1601;"Gestion de l'information et de la documentation";https://candidat.francetravail.fr/metierscope/fiche-metier/K1601;"information-communication, audiovisuel/bibliothèque, documentation"
"infirmier / infirmière humanitaire";https://www.onisep.fr/http/redirection/metier/slug/MET.343;;"pas de publication Onisep spécifique";;;"GFE R : santé, social, soins personnels";J1506;"Soins infirmiers généralistes";https://candidat.francetravail.fr/metierscope/fiche-metier/J1506;"santé, social, sport/paramédical| santé, social, sport/travail social"
"diagnostiqueur / diagnostiqueuse immobilier";https://www.onisep.fr/http/redirection/metier/slug/MET.910;"Les métiers de l'immobilier";Parcours;2021;9782273015837;"GFE C : bâtiment";F1103;"Contrôle et diagnostic technique du bâtiment";https://candidat.francetravail.fr/metierscope/fiche-metier/F1103;"construction, architecture, travaux publics/génie civil, construction (généralités)"
"chirurgien-dentiste / chirurgienne-dentiste";https://www.onisep.fr/http/redirection/metier/slug/MET.870;"Travailler auprès des enfants";Parcours;2023;9782273016780;"GFE R : santé, social, soins personnels";J1103;"Médecine dentaire";https://candidat.francetravail.fr/metierscope/fiche-metier/J1103;"santé, social, sport/médical"
"ingénieur / ingénieure fluides, énergies, réseaux, environnement";https://www.onisep.fr/http/redirection/metier/slug/MET.725;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";;;;"environnement, énergies, propreté/énergies| environnement, énergies, propreté/environnement (généralités)| sciences/physique"
"UX designer";https://www.onisep.fr/http/redirection/metier/slug/MET.936;;"pas de publication Onisep spécifique";;;"GFE U : communication, médias";E1205;"Réalisation de contenus multimédias";https://candidat.francetravail.fr/metierscope/fiche-metier/E1205;"arts, culture, artisanat/arts graphiques"
"agent / agente de propreté et d'hygiène";https://www.onisep.fr/http/redirection/metier/slug/MET.562;"Les métiers de l'environnement et du développement durable";Parcours;2024;9782273017008;"GFE T : environnement, nettoyage, sécurité";K2204;"Nettoyage de locaux";https://candidat.francetravail.fr/metierscope/fiche-metier/K2204;"environnement, énergies, propreté/propreté"
"responsable qualité en agroalimentaire";https://www.onisep.fr/http/redirection/metier/slug/MET.113;"Les métiers de l'agroalimentaire";Parcours;2019;9782273014557;"GFE K : production alimentaire";H1502;"Management et ingénierie qualité industrielle";https://candidat.francetravail.fr/metierscope/fiche-metier/H1502;"matières premières, fabrication, industries/agroalimentaire| matières premières, fabrication, industries/fabrication, productique"
"codeur / codeuse en LfPC (langue française parlée complétée)";https://www.onisep.fr/http/redirection/metier/slug/MET.7899;;"pas de publication Onisep spécifique";;;"GFE W : droit, enseignement, recherche et sciences humaines";E1108;"Traduction, interprétariat";https://candidat.francetravail.fr/metierscope/fiche-metier/E1108;"lettres, langues, enseignement/langues"
"administrateur adjoint / administratrice adjointe du Sénat";https://www.onisep.fr/http/redirection/metier/slug/MET.7905;;"pas de publication Onisep spécifique";;;"GFE W : droit, enseignement, recherche et sciences humaines";;;;"gestion des entreprises, comptabilité/comptabilité| économie, droit, politique/droit public| gestion des entreprises, comptabilité/secrétariat"
"responsable de projets culturels";https://www.onisep.fr/http/redirection/metier/slug/MET.580;"Les métiers de la culture et du patrimoine";Parcours;2022;9782273016131;"GFE U : communication, médias";K1802;"Développement local";https://candidat.francetravail.fr/metierscope/fiche-metier/K1802;"arts, culture, artisanat/activités culturelles| histoire-géographie, psychologie, sociologie/histoire| arts, culture, artisanat/histoire de l'art"
"chargé / chargée HSE (hygiène sécurité environnement)";https://www.onisep.fr/http/redirection/metier/slug/MET.878;"Les métiers de l'environnement et du développement durable";Parcours;2024;9782273017008;"GFE T : environnement, nettoyage, sécurité";H1302;"Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels";https://candidat.francetravail.fr/metierscope/fiche-metier/H1302;"environnement, énergies, propreté/propreté| armée, sécurité/sécurité, prévention"
"expert / experte bilan carbone";https://www.onisep.fr/http/redirection/metier/slug/MET.632;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";;;;"environnement, énergies, propreté/énergies| environnement, énergies, propreté/environnement (généralités)"
"auxiliaire de puériculture";https://www.onisep.fr/http/redirection/metier/slug/MET.415;"Les métiers du paramédical";Parcours;2022;9782273016117;"GFE R : santé, social, soins personnels";J1304;"Aide en puériculture";https://candidat.francetravail.fr/metierscope/fiche-metier/J1304;"santé, social, sport/paramédical"
"adjoint administratif / adjointe administrative";https://www.onisep.fr/http/redirection/metier/slug/MET.578;;"pas de publication Onisep spécifique";;;"GFE Q : commerce, gestion, finances";;;;"gestion des entreprises, comptabilité/secrétariat"
"ingénieur / ingénieure brevets";https://www.onisep.fr/http/redirection/metier/slug/MET.95;;"pas de publication Onisep spécifique";;;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/metierscope/fiche-metier/H1206;"sciences/biologie| économie, droit, politique/droit privé"
"ingénieur / ingénieure d'études en sûreté nucléaire";https://www.onisep.fr/http/redirection/metier/slug/MET.626;;"pas de publication Onisep spécifique";;;"GFE H : électricité, énergie, électronique";H1302;"Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels";https://candidat.francetravail.fr/metierscope/fiche-metier/H1302;"armée, sécurité/sécurité, prévention"
audioprothésiste;https://www.onisep.fr/http/redirection/metier/slug/MET.676;"Les métiers du paramédical";Parcours;2022;9782273016117;"GFE R : santé, social, soins personnels";J1401;Audioprothèses;https://candidat.francetravail.fr/metierscope/fiche-metier/J1401;"santé, social, sport/paramédical"
"ajusteur-monteur / ajusteuse-monteuse";https://www.onisep.fr/http/redirection/metier/slug/MET.575;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE F : mécanique";H2901;"Ajustement et montage de fabrication";https://candidat.francetravail.fr/metierscope/fiche-metier/H2901;"mécanique/mécanique (généralités)"
"ingénieur / ingénieure textile";https://www.onisep.fr/http/redirection/metier/slug/MET.480;"Mode et luxe";Parcours;2024;9782273016803;"GFE L : textile, habillement, cuir";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/metierscope/fiche-metier/H1206;"matières premières, fabrication, industries/textile, habillement"
"hôtesse de l'air / steward";https://www.onisep.fr/http/redirection/metier/slug/MET.772;"Les métiers du transport et de la logistique";Parcours;2024;9782273016926;"GFE O : transport, logistique";N2101;"Navigation commerciale aérienne";https://candidat.francetravail.fr/metierscope/fiche-metier/N2101;"logistique, transport/transport"
"analyste de crédit";https://www.onisep.fr/http/redirection/metier/slug/MET.661;"Les métiers de la banque, de la finance et de l'assurance";Parcours;2022;9782273016094;"GFE Q : commerce, gestion, finances";C1202;"Analyse de crédits et risques bancaires";https://candidat.francetravail.fr/metierscope/fiche-metier/C1202;"banque, assurances, immobilier/banque"
"chef / cheffe d'exploitation d'usine d'incinération";https://www.onisep.fr/http/redirection/metier/slug/MET.226;"Les métiers de l'environnement et du développement durable";Parcours;2024;9782273017008;"GFE T : environnement, nettoyage, sécurité";K2306;"Supervision d'exploitation éco-industrielle";https://candidat.francetravail.fr/metierscope/fiche-metier/K2306;"gestion des entreprises, comptabilité/administration de l'entreprise| environnement, énergies, propreté/déchets, pollutions et risques| matières premières, fabrication, industries/génie industriel| matières premières, fabrication, industries/méthodes industrialisation"
"ingénieur électricien / ingénieure électricienne";https://www.onisep.fr/http/redirection/metier/slug/MET.75;"Les métiers de l'énergie";Parcours;2022;9782273015998;"GFE H : électricité, énergie, électronique";"H1206 | H2502";"Management et ingénierie études, recherche et développement industriel | Management et ingénierie de production";"https://candidat.francetravail.fr/metierscope/fiche-metier/H1206 | https://candidat.francetravail.fr/metierscope/fiche-metier/H2502";"électricité, électronique, robotique/électrotechnique| environnement, énergies, propreté/énergies"
"chargé / chargée de projet événementiel";https://www.onisep.fr/http/redirection/metier/slug/MET.473;"Les métiers du tourisme";Parcours;2023;9782273016339;"GFE U : communication, médias";E1103;Communication;https://candidat.francetravail.fr/metierscope/fiche-metier/E1103;"information-communication, audiovisuel/communication"
"responsable du service après-vente";https://www.onisep.fr/http/redirection/metier/slug/MET.543;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE Q : commerce, gestion, finances";I1402;"Réparation de biens électrodomestiques et multimédia";https://candidat.francetravail.fr/metierscope/fiche-metier/I1402;"commerce, marketing, vente/grande distribution et petits commerces| matières premières, fabrication, industries/maintenance, qualité"
"animateur / animatrice d'activités physiques et sportives pour tous";https://www.onisep.fr/http/redirection/metier/slug/MET.808;"Travailler auprès des enfants";Parcours;2023;9782273016780;"GFE S : hôtellerie,  tourisme, loisirs";G1204;"Éducation en activités sportives";https://candidat.francetravail.fr/metierscope/fiche-metier/G1204;"santé, social, sport/sport"
webdesigner;https://www.onisep.fr/http/redirection/metier/slug/MET.450;"Les métiers de l'information et de la communication";Parcours;2021;9782273015950;"GFE U : communication, médias";E1205;"Réalisation de contenus multimédias";https://candidat.francetravail.fr/metierscope/fiche-metier/E1205;"arts, culture, artisanat/arts graphiques| information-communication, audiovisuel/multimédia"
"vendeur spécialisé en bricolage / vendeuse spécialisée en bricolage";https://www.onisep.fr/http/redirection/metier/slug/MET.857;"Les métiers du commerce, du marketing et de la publicité";Parcours;2021;9782273015936;"GFE Q : commerce, gestion, finances";D1212;"Vente en décoration et équipement du foyer";https://candidat.francetravail.fr/metierscope/fiche-metier/D1212;"commerce, marketing, vente/grande distribution et petits commerces| commerce, marketing, vente/marketing, vente"
architecte;https://www.onisep.fr/http/redirection/metier/slug/MET.161;"Les métiers de l'architecture, de l'urbanisme et du paysage";Parcours;2024;9782273016889;"GFE C : bâtiment";F1101;"Architecture du BTP et du paysage";https://candidat.francetravail.fr/metierscope/fiche-metier/F1101;"construction, architecture, travaux publics/architecture"
